seeds: 858905075 56936593 947763189 267019426 206349064 252409474 660226451 92561087 752930744 24162055 75704321 63600948 3866217991 323477533 3356941271 54368890 1755537789 475537300 1327269841 427659734

seed-to-soil map:
3801356911 2996165168 221350739
2463542360 3803693993 45455046
3367828633 3458016664 26188820
3105794106 2948502492 47662676
0 1329675014 86866324
342349522 694551361 126187241
158929133 820738602 177887079
1608531432 1735268088 3133630
2673910102 4209803519 85163777
3316593383 2152460357 51235250
3268564455 2116439287 21011840
2508997406 2137451127 15009230
2011585021 153460510 75412406
1745884532 1588488843 146779245
621997273 1416541338 37728035
2865293349 3217515907 240500757
2408910708 2318803280 54631652
468536763 0 153460510
4235718558 2373434932 59248738
2116439287 3515160224 106747554

light-to-temperature map:
1588027222 1909294051 23480302
2215874455 2960213648 162391531
2129487527 3462600798 86386928
3484568571 1932774353 37497788
1911434001 1113198957 54894781
880849827 535842660 44062779
1450966888 2803663201 137060334
0 175732913 3492989
820881151 879323733 45588873
2593908227 3122605179 276522050
4086321665 3399127229 59629850
1267064668 2940723535 19490113
872717966 579905439 8131861
17372207 0 175732913
325280839 781495589 97828144
485661210 200622719 335219941
866470024 712695420 6247942
1113198957 1970272141 153865711
3384296082 2124137852 23097298
3492989 186743501 13879218
1966328782 1746135306 163158745
3522066359 3730711990 564255306
1611507524 2661100955 108644269
193105120 588037300 124658120
423108983 718943362 62552227
2870430277 2147235150 513865805
2559990250 2769745224 33917977
4145951515 1168093738 149015781
1720151793 1558696817 187438489
3407393380 1317109519 77175191
1286554781 1394284710 164412107
317763240 179225902 7517599
2378265986 3548987726 181724264
1907590282 3458757079 3843719

temperature-to-humidity map:
2368894659 1388350150 55368176
3669222180 3739392779 16773160
4199646729 3863166637 79873794
399562411 1508754364 89530529
355021451 346145384 44540960
3348191019 2804337123 32367820
4153047357 3630809755 46599372
801745354 3027789847 194064703
295043332 1932435496 59978119
2173824398 0 195070261
3586766138 3780710595 82456042
2063962300 390686344 109862098
2424813637 2262322190 16002572
694625758 2155376830 106945360
4279520523 3615362982 15446773
489092940 1655816946 66193390
0 3221854550 178998524
1882939638 1912164198 20271298
178998524 1187862900 104517087
288525818 1292379987 6517514
995810057 1598284893 57532053
3220600544 1992413615 127590475
1857243139 195070261 25696499
2424262835 1443718326 550802
3143673104 1375907946 12442204
3776575836 3943040431 220205828
1053342110 693558780 494304120
2630970071 2286623883 512703033
638901084 2284929071 1694812
801571118 2836704943 174236
640595896 2836879179 54029862
4128502701 3756165939 24544656
1684527036 520842677 172716103
1547646230 2890909041 136880806
3524782486 3677409127 61983652
3685995340 3524782486 90580496
3380558839 500548442 20294235
2440816209 1722010336 190153862
283515611 2799326916 5010207
1903210936 2120004090 35372740
561890639 1298897501 77010445
555286330 2278324762 6604309
1938583676 220766760 125378624
3996781664 4163246259 131721037
3156115308 1444269128 64485236

humidity-to-location map:
2420477851 2725678119 154870744
341010579 1968896618 161603351
2771047693 3040747240 63786420
1473264654 231223255 158065928
300743457 665216997 40267122
4266394999 3974648226 28572297
44642725 3145344681 187170981
3913829571 3489505645 352565428
2132898063 571123277 94093720
2945529238 1729589230 52970089
3205711977 3366573953 87052626
3077771609 1429791513 87129347
3840363983 3901182638 31190715
3674520209 3842071073 59111565
3733631774 4003220523 106732209
0 2326199067 44642725
1631330582 389289183 181834094
2226991783 2370841792 193486068
2911470947 3332515662 34058291
1999501975 1516920860 133396088
1813164676 1782559319 186337299
502613930 2880548863 91268626
1242041399 0 231223255
3586449755 4206896842 88070454
2834834113 1353642962 76148551
3164900956 3104533660 40811021
3489505645 4109952732 96944110
2910982664 2564327860 488283
3292764603 2564816143 160861976
231813706 2971817489 68929751
2575348595 2130499969 195699098
593882556 705484119 648158843
3871554698 3932373353 42274873
2998499327 1650316948 79272282
